中文名,外文名,软科排名,独立学院,民办高校
阿坝师范学院,ABA TEACHERS COLLEGE,,否,否
阿坝职业学院,Aba Vocational College,,否,否
阿克苏工业职业技术学院,Aksu Industry Polytechnic College,,否,否
阿克苏职业技术学院,Aksu Vocational and Technical College,,否,否
阿拉善职业技术学院,Alashan Vocational College,,否,否
阿勒泰职业技术学院,Altay Vocational and Technical College,,否,否
安徽财贸职业学院,Anhui Finance & Trade Vocational College,,否,否
安徽城市管理职业学院,Anhui Vocational College Of City Management,,否,否
安徽第二医学院,Anhui Institute of Medicine,,否,否
安徽电气工程职业技术学院,Anhui Electrical Engineering Professional Technique College,,否,否
安徽电子信息职业技术学院,Anhui Vocational College Of Electronics & Information Technology,,否,否
安徽工贸职业技术学院,Anhui Vocational And Technical College Of Industry and Trade,,否,否
安徽工商职业学院,Anhui Business Vocational College,,否,否
安徽工业经济职业技术学院,Anhui Technical College of Industry And Economy,,否,否
安徽工业职业技术学院,Anhui Industry Polytechnic,,否,否
安徽公安学院,Anhui Police College,,否,否
安徽公安职业学院,Anhui Public Security College,,否,否
安徽广播影视职业技术学院,Anhui Broadcasting Movie and Television College,,否,否
安徽国防科技职业学院,Anhui Vocational College Of Defense Technology,,否,否
安徽国际商务职业学院,Anhui Institute Of International Business,,否,否
安徽黄梅戏艺术职业学院,Anhui Huangmei Opera Art Vocational College,,否,否
安徽机电职业技术学院,Anhui Technical College Of Mechanical And Electrical Engineering,,否,否
安徽交通职业技术学院,Anhui Communications Vocational & Technical College,,否,否
安徽警官职业学院,Anhui Vocational College Of Police Officers,,否,否
安徽矿业职业技术学院,Anhui College of Mining and Technology,,否,是
安徽粮食工程职业学院,Anhui Vocational College Of Grain Engineering,,否,否
安徽林业职业技术学院,Anhui Vocational & Technical College Of Forestry,,否,否
安徽绿海商务职业学院,Anhui Lvhai Vocational College Of Business,,否,是
安徽汽车职业技术学院,Anhui Automobile Vocational and Technical College,,否,否
安徽三联学院,Anhui Sanlian University,,否,是
安徽商贸职业技术学院,Anhui Business College Of Vocational Technology,,否,否
安徽涉外经济职业学院,Anhui International Economy College,,否,是
安徽审计职业学院,Anhui Audit College,,否,否
安徽水利水电职业技术学院,Anhui Water Conservancy Technical College,,否,否
安徽体育运动职业技术学院,Anhui Professional & Technical Institute Of Athletics,,否,否
安徽外国语学院,Anhui International Studies University,,否,是
安徽卫生健康职业学院,Anhui Health College,,否,否
安徽文达信息工程学院,Anhui Wenda University of Information Engineering,,否,是
