中文名,外文名,软科排名,985,211,双一流
清华大学,Tsinghua University,1,是,是,是
北京大学,Peking University,2,是,是,是
浙江大学,Zhejiang University,3,是,是,是
上海交通大学,Shanghai Jiao Tong University,4,是,是,是
复旦大学,Fudan University,5,是,是,是
南京大学,Nanjing University,6,是,是,是
中国科学技术大学,University of Science and Technology of China,7,是,是,是
武汉大学,Wuhan University,8,是,是,是
华中科技大学,Huazhong University of Science and Technology,9,是,是,是
西安交通大学,Xi'an Jiaotong University,10,是,是,是
北京航空航天大学,Beihang University,11,是,是,是
哈尔滨工业大学,Harbin Institute of Technology,12,是,是,是
中山大学,Sun Yat-sen University,13,是,是,是
北京理工大学,Beijing Institute of Technology,14,是,是,是
北京协和医学院,Peking Union Medical College,医1,否,否,是
东南大学,Southeast University,15,是,是,是
四川大学,Sichuan University,16,是,是,是
中国人民大学,Renmin University of China,17,是,是,是
同济大学,Tongji University,18,是,是,是
北京师范大学,Beijing Normal University,19,是,是,是
天津大学,Tianjin University,20,是,是,是
南开大学,Nankai University,21,是,是,是
山东大学,Shandong University,22,是,是,是
西北工业大学,Northwestern Polytechnical University,23,是,是,是
中国农业大学,China Agricultural University,24,是,是,是
厦门大学,Xiamen University,25,是,是,是
吉林大学,Jilin University,26,是,是,是
中南大学,Central South University,27,是,是,是
大连理工大学,Dalian University of Technology,28,是,是,是
华东师范大学,East China Normal University,29,是,是,是
南方科技大学,Southern University of Science and Technology,30,否,否,是
湖南大学,Hunan University,31,是,是,是
华南理工大学,South China University of Technology,32,是,是,是
电子科技大学,University of Electronic Science and Technology of China,33,是,是,是
重庆大学,Chongqing University,34,是,是,是
北京科技大学,University of Science and Technology Beijing,35,否,是,是
上海财经大学,Shanghai University of Finance and Economics,财1,否,是,是
南京理工大学,Nanjing University of Science & Technology,36,否,是,是
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,37,否,是,是
首都医科大学,Capital Medical University,医2,否,否,否
东北大学,Northeastern University,38,是,是,是
西安电子科技大学,Xidian University,39,否,是,是
香港中文大学（深圳）,"The Chinese University of Hong Kong, Shenzhen",合作1,否,否,否
兰州大学,Lanzhou University,40,是,是,是
北京交通大学,Beijing Jiaotong University,41,否,是,是
华东理工大学,East China University of Science and Technology,42,否,是,是
南方医科大学,Southern Medical University,医3,否,否,否
中央财经大学,Central University of Finance and Economics,财2,否,是,是
哈尔滨工程大学,Harbin Engineering University,43,否,是,是
郑州大学,Zhengzhou University,44,否,是,是
华中农业大学,Huazhong Agricultural University,45,否,是,是
南京医科大学,Nanjing Medical University,医4,否,否,是
苏州大学,Soochow University,46,否,是,是
上海科技大学,ShanghaiTech University,47,否,否,是
东北师范大学,Northeast Normal University,48,否,是,是
西南交通大学,Southwest Jiaotong University,49,否,是,是
北京邮电大学,Beijing University of Posts and Telecommunications,50,否,是,是
中国海洋大学,Ocean University of China,51,是,是,是
江南大学,Jiangnan University,52,否,是,是
华中师范大学,Central China Normal University,53,否,是,是
武汉理工大学,Wuhan University of Technology,54,否,是,是
南京农业大学,Nanjing Agricultural University,55,否,是,是
中国地质大学（武汉）,China University of Geosciences,56,否,是,是
中国政法大学,China University of Political Science and Law,政1,否,是,是
北京化工大学,Beijing University of Chemical Technology,57,否,是,是
对外经济贸易大学,University of International Business and Economics,财3,否,是,是
中南财经政法大学,Zhongnan University of Economics and Law,财4,否,是,是
南京师范大学,Nanjing Normal University,58,否,是,是
暨南大学,Jinan University,59,否,是,是
上海大学,Shanghai University,60,否,是,是
天津医科大学,Tianjin Medical University,医5,否,是,是
西南大学,Southwest University,61,否,是,是
中国石油大学（北京）,"China University of Petroleum, Beijing",62,否,是,是
中国医科大学,China Medical University (Shenyang),医6,否,否,否
河海大学,Hohai University,63,否,是,是
陕西师范大学,Shaanxi Normal University,63,否,是,是
北京中医药大学,Beijing University of Chinese Medicine,中医1,否,是,是
北京工业大学,Beijing University of Technology,65,否,是,是
宁波诺丁汉大学,University of Nottingham Ningbo China,合作2,否,否,否
深圳大学,Shenzhen University,66,否,否,否
西南财经大学,Southwestern University of Finance and Economics,财5,否,是,是
中国矿业大学,China University of Mining and Technology,67,否,是,是
浙江工业大学,Zhejiang University of Technology,68,否,否,否
西北农林科技大学,Northwest A&F University,69,是,是,是
上海中医药大学,Shanghai University of Traditional Chinese Medicine,中医2,否,否,是
西北大学,Northwest University,70,否,是,是
云南大学,Yunnan University,71,否,是,是
东华大学,Donghua University,72,否,是,是
中国石油大学（华东）,China University of Petroleum (East China),73,否,是,是
南昌大学,Nanchang University,74,否,是,是
中国地质大学（北京）,China University of Geosciences Beijing,75,否,是,是
中国矿业大学（北京）,China University of Mining and Technology-Beijing,76,否,是,是
福州大学,Fuzhou University,77,否,是,是
宁波大学,Ningbo University,78,否,否,是
上海纽约大学,NYU Shanghai,合作3,否,否,否
华南师范大学,South China Normal University,79,否,是,是
广州医科大学,Guangzhou Medical University,医7,否,否,是
哈尔滨医科大学,Harbin Medical University,医8,否,否,否
北京外国语大学,Beijing Foreign Studies University,语1,否,是,是
中央民族大学,Minzu University of China,民1,是,是,是
合肥工业大学,Hefei University of Technology,80,否,是,是
江苏大学,Jiangsu University,81,否,否,否
重庆医科大学,Chongqing Medical University,医9,否,否,否
东北财经大学,Dongbei University of Finance and Economics,财6,否,否,否
上海外国语大学,Shanghai International Studies University,语2,否,是,是
南京邮电大学,Nanjing University of Posts and Telecommunications,82,否,否,是
